FID;CID;curvature1;waterriver;VGTB_LandC;fill_dgmq3;litho1;dgm_slope1;aspect;curv_pln;curv_profi;soil1;NEAR_FID;NEAR_DIST;longitude;latitude;is_ls;Topographi
550;0;0,0705281;99;5;12,4500999;5;3,1627400;270,9330139;-0,0058505;-0,0763786;4;44;217,059752863000000;836260,0000000;1766300,0000000;0;8,1955500
551;0;0,1060730;99;6;16,9274006;5;2,4814000;150,5590057;0,0742218;-0,0318507;4;44;20,840249558899998;831845,0000000;1761050,0000000;0;9,5653496
552;0;1,1869700;99;1;1045,7299805;3;20,5638008;168,3589935;0,9220750;-0,2648960;1;26;651,741017241999998;810432,0000000;1678060,0000000;0;4,9799099
553;0;-0,6720840;0;2;181,4490051;3;8,1663904;28,4013996;-0,1150930;0,5569900;2;22;135,082935488000004;803784,0000000;1710530,0000000;0;7,4221601
554;0;0,5296630;99;3;266,1990051;3;21,6926003;311,5690002;0,1777950;-0,3518680;3;8;887,556701948999944;837688,0000000;1691980,0000000;0;5,1524301
555;0;-1,3630199;99;3;958,6890259;3;27,5891991;197,9980011;-0,7012540;0,6617620;1;26;1156,523142000000007;806478,0000000;1681260,0000000;0;4,8545599
556;0;1,0941800;99;1;607,9760132;3;19,5797005;124,7229996;0,2798190;-0,8143660;3;40;1155,154351989999896;802193,0000000;1712390,0000000;0;5,0647602
557;0;-0,1154820;99;2;12,1442003;5;3,5700099;349,1740112;-0,0090766;0,1064050;4;4;85,214509308399997;831852,0000000;1771100,0000000;0;8,4059601
558;0;-0,0000000;90;4;5,1083698;5;0,0000000;-1,0000000;0,0000000;0,0000000;4;52;738,390144251000038;850635,0000000;1760270,0000000;0;12,2848997
559;0;0,2821810;99;2;14,7335997;5;0,9962550;27,6105003;0,1119940;-0,1701870;3;51;684,147155852999958;874000,0000000;1720880,0000000;0;9,2148895
560;0;0,6158040;99;1;1223,1199951;3;18,9887009;57,3224983;0,5635840;-0,0522201;1;24;458,187865073000012;813749,0000000;1669400,0000000;0;5,0209699
561;0;-0,5473670;99;1;418,2709961;3;20,4689999;258,8630066;-0,5472110;0,0001554;3;33;529,240646691000052;801172,0000000;1709190,0000000;0;5,0806499
562;0;1,2848200;99;1;1070,4699707;3;19,8729992;167,6549988;0,6201220;-0,6646950;1;54;1068,790213810000068;800558,0000000;1682870,0000000;0;4,9437099
563;0;0,2586200;99;1;387,5199890;3;15,8424997;5,7673898;0,7118430;0,4532230;3;4;466,236472911000021;812685,0000000;1766260,0000000;0;6,5254202
564;0;0,1607460;99;3;74,8879013;4;15,8290997;202,1660004;0,0366517;-0,1240950;3;40;120,255660297999995;801930,0000000;1732410,0000000;0;5,7326798
565;0;1,1708200;99;2;613,8530273;3;15,1389999;123,7850037;0,3285320;-0,8422850;3;4;306,717948078000006;780671,0000000;1761920,0000000;0;4,7925901
566;0;0,0073688;99;5;5,5109801;5;0,7908770;118,3949966;-0,0106351;-0,0180038;4;2;27,720667877400000;848780,0000000;1771070,0000000;0;10,2096004
